namaresto,cuisines,namatype,ratescore,ratetext,cost,lokasi
 Union Deli, Western, Bakery,47, Excellent,300000,Jakarta Pusat
 AMKC Atelier, Western, Bakery,44, Very Good,600000,Jakarta Pusat
 Francis Artisan Bakery, Bakery, Bakery,47, Excellent,70000,Jakarta Pusat
 Exquise Patisserie, Cafe, Bakery,43, Very Good,140000,Jakarta Pusat
 Kempi Deli, Western, Bakery,44, Very Good,300000,Jakarta Pusat
 Paul, Cafe, Bakery,43, Very Good,450000,Jakarta Pusat
 NAMELAKA, Bakery, Bakery,45, Excellent,150000,Jakarta Pusat
 Bakerzin, Western, Bakery,39, Good,250000,Jakarta Pusat
 Auntie Annes, Bakery, Bakery,42, Very Good,80000,Jakarta Pusat
 Suisse Bakery, Bakery, Bakery,45, Excellent,25000,Jakarta Pusat
 Tugu Kunstkring Bakery, Cafe, Bakery,40, Very Good,80000,Jakarta Pusat
 Tous Les Jours, Bakery, Bakery,39, Good,135000,Jakarta Pusat
 Lulu  Kayla Cakes, Cafe, Bakery,39, Good,100000,Jakarta Pusat
 Tous Les Jours, Bakery, Bakery,41, Very Good,100000,Jakarta Pusat
 Bake a Boo, Bakery, Bakery,40, Very Good,60000,Jakarta Pusat
 Chefs Bakery, Bakery, Bakery,38, Good,60000,Jakarta Pusat
 Dapur Cokelat, Bakery, Bakery,37, Good,120000,Jakarta Pusat
 Delicious Bakery, Bakery, Bakery,38, Good,70000,Jakarta Pusat
 The Mandarin Cake Shop  Mandarin Oriental Jakarta, Bakery, Bakery,41, Very Good,150000,Jakarta Pusat
 Bonjour Pastry, Bakery, Bakery,39, Good,120000,Jakarta Pusat
 Clover Bakery, Bakery, Bakery,39, Good,30000,Jakarta Pusat
 Momoiro, Bakery, Bakery,37, Good,135000,Jakarta Pusat
 Saint Cinnamon  Coffee, Bakery, Bakery,39, Good,100000,Jakarta Pusat
 The Harvest, Desserts, Bakery,36, Good,100000,Jakarta Pusat
 Sakura Anpan, Bakery, Bakery,36, Good,50000,Jakarta Pusat
 Martha Cake Shop, Bakery, Bakery,40, Very Good,100000,Jakarta Pusat
 Almondtree by The Harvest, Bakery, Bakery,37, Good,200000,Jakarta Pusat
 Shokupan Bakery  Pastries, Bakery, Bakery,37, Good,90000,Jakarta Pusat
 BreadTalk, Bakery, Bakery,33, Average,70000,Jakarta Pusat
 HG Cakes  Bakery, Bakery, Bakery,37, Good,150000,Jakarta Pusat
 Satoo Deli Shop  ShangriLa Hotel, Bakery, Bakery,37, Good,300000,Jakarta Pusat
 Tous Les Jours, Bakery, Bakery,37, Good,135000,Jakarta Pusat
 Makaron  Pullman Jakarta Indonesia, Bakery, Bakery,36, Good,120000,Jakarta Pusat
 La Boutique Gourmande  Le Meridien Hotel, Bakery, Bakery,38, Good,350000,Jakarta Pusat
 Sylvie Bika Ambon Medan, Bakery, Bakery,37, Good,150000,Jakarta Pusat
 De East Bread  Cakes, Bakery, Bakery,35, Good,45000,Jakarta Pusat
 Thai Bun Bun, Bakery, Bakery,35, Good,60000,Jakarta Pusat
 BreadTalk, Bakery, Bakery,35, Good,70000,Jakarta Pusat
 Yakitate Bakery, Bakery, Bakery,35, Good,30000,Jakarta Pusat
 BreadLife, Bakery, Bakery,34, Average,50000,Jakarta Pusat
 Michelle Bakery, Bakery, Bakery,41, Very Good,200000,Jakarta Timur
 Jessy Bread  Cake, Bakery, Bakery,37, Good,40000,Jakarta Timur
 Ezo Cheesecakes  Bakery, Bakery, Bakery,39, Good,100000,Jakarta Timur
 Imperial Tables, Italian, Bakery,37, Good,240000,Jakarta Timur
 Delico, Cafe, Bakery,33, Average,190000,Jakarta Timur
 AEON Bakery, Bakery, Bakery,35, Good,70000,Jakarta Timur
 Chezini, Bakery, Bakery,36, Baik,100000,Jakarta Timur
 Loti Loti Bakery, Bakery, Bakery,36, Good,50000,Jakarta Timur
 Thens Bakery, Bakery, Bakery,36, Good,50000,Jakarta Timur
 The Cake House, Bakery, Bakery,36, Good,50000,Jakarta Timur
 Saint Cinnamon  Coffee, Bakery, Bakery,37, Good,100000,Jakarta Timur
 Tous Les Jours, Bakery, Bakery,36, Good,135000,Jakarta Timur
 Toko Roti Tegal, Bakery, Bakery,34, Average,50000,Jakarta Timur
 Eaton, Chinese, Bakery,36, Good,150000,Jakarta Timur
 Soes Merdeka, Bakery, Bakery,34, Average,60000,Jakarta Timur
 BreadTalk, Bakery, Bakery,34, Average,70000,Jakarta Timur
 Majestyk Bakery  Cakes, Bakery, Bakery,35, Good,60000,Jakarta Timur
 Domino Cake, Bakery, Bakery,26, Average,150000,Jakarta Timur
 Tous Les Jours, Bakery, Bakery,33, Average,135000,Jakarta Timur
 Majestyk Bakery  Cakes, Bakery, Bakery,28, Average,60000,Jakarta Timur
 BreadTalk, Bakery, Bakery,32, Average,70000,Jakarta Timur
 Momoiro, Bakery, Bakery,26, Average,80000,Jakarta Timur
 Sedap Wangi Bakery, Bakery, Bakery,33, Average,30000,Jakarta Timur
 BreadTalk, Bakery, Bakery,35, Good,70000,Jakarta Timur
 Holland Bakery, Bakery, Bakery,33, Average,50000,Jakarta Timur
 Holland Bakery, Bakery, Bakery,35, Good,50000,Jakarta Timur
 Shintana, Bakery, Bakery,32, Average,50000,Jakarta Timur
 Holland Bakery, Bakery, Bakery,34, Average,50000,Jakarta Timur
 The Harvest, Desserts, Bakery,33, Average,100000,Jakarta Timur
 BreadTalk, Bakery, Bakery,34, Average,70000,Jakarta Timur
 BreadTalk, Bakery, Bakery,30, Average,70000,Jakarta Timur
 BreadTalk, Bakery, Bakery,32, Average,70000,Jakarta Timur
 Beard Papas, Bakery, Bakery,34, Average,50000,Jakarta Timur
 Breadtalk, Bakery, Bakery,33, Average,70000,Jakarta Timur
 Papabunz, Bakery, Bakery,33, Average,30000,Jakarta Timur
 Marqies, Bakery, Bakery,28, Average,100000,Jakarta Timur
 Breadtalk, Bakery, Bakery,34, Average,70000,Jakarta Timur
 Holland Bakery, Bakery, Bakery,32, Average,50000,Jakarta Timur
 Bakeri Monami, Bakery, Bakery,33, Average,40000,Jakarta Timur
 Holland Bakery, Bakery, Bakery,33, Average,50000,Jakarta Timur
 C For Cupcakes And Coffee, Bakery, Bakery,39, Good,150000,Jakarta Utara
 Bakerzin, Western, Bakery,41, Very Good,250000,Jakarta Utara
 Lapislapis The Kitchen, European, Bakery,41, Very Good,250000,Jakarta Utara
 Ezo Cheesecakes  Bakery, Bakery, Bakery,42, Very Good,100000,Jakarta Utara
 Ezo Cheesecakes  Bakery, Bakery, Bakery,43, Very Good,100000,Jakarta Utara
 EIO Patisserie, Bakery, Bakery,41, Very Good,200000,Jakarta Utara
 Tous Les Jours, Bakery, Bakery,40, Very Good,135000,Jakarta Utara
 The Harvest, Desserts, Bakery,40, Very Good,100000,Jakarta Utara
 Linds, Desserts, Bakery,38, Good,200000,Jakarta Utara
 The Harvest, Desserts, Bakery,39, Good,100000,Jakarta Utara
 Francis Artisan Bakery, Bakery, Bakery,42, Very Good,70000,Jakarta Utara
 Fuwa Fuwa, Bakery, Bakery,40, Very Good,100000,Jakarta Utara
 Sponji, Bakery, Bakery,41, Very Good,100000,Jakarta Utara
 Eaton, Chinese, Bakery,38, Good,150000,Jakarta Utara
 Bake a Boo, Bakery, Bakery,41, Very Good,60000,Jakarta Utara
 Dapur Cokelat, Bakery, Bakery,39, Good,120000,Jakarta Utara
 Auntie Annes, Bakery, Bakery,38, Good,80000,Jakarta Utara
 Provence, Bakery, Bakery,38, Good,60000,Jakarta Utara
 Tous Les Jours, Bakery, Bakery,39, Good,135000,Jakarta Utara
 Tous Les Jours, Bakery, Bakery,38, Good,135000,Jakarta Utara
 Eaton, Chinese, Bakery,28, Average,150000,Jakarta Utara
 Humble, Desserts, Bakery,39, Good,120000,Jakarta Utara
 Sugarbell, Bakery, Bakery,31, Average,80000,Jakarta Utara
 Golden Egg Bakery, Bakery, Bakery,37, Good,100000,Jakarta Utara
 Dandy Bakery, Bakery, Bakery,39, Good,55000,Jakarta Utara
 Fins Recipe, Bakery, Bakery,40, Very Good,80000,Jakarta Utara
 Le Mint  Saffron, North Indian, Bakery,37, Good,250000,Jakarta Utara
 AJ Bakery, Bakery, Bakery,37, Good,150000,Jakarta Utara
 Tous Les Jours, Bakery, Bakery,37, Good,135000,Jakarta Utara
 Home Made Bakery, Bakery, Bakery,38, Good,100000,Jakarta Utara
 Eaton, Chinese, Bakery,34, Average,150000,Jakarta Utara
 Voguerina Taipei, Bakery, Bakery,36, Good,80000,Jakarta Utara
 Tous Les Jours, Bakery, Bakery,37, Good,135000,Jakarta Utara
 Beard Papas, Bakery, Bakery,37, Good,50000,Jakarta Utara
 Vanilla Bakery, Bakery, Bakery,36, Good,45000,Jakarta Utara
 Deli Patissiere, Bakery, Bakery,36, Good,100000,Jakarta Utara
 BreadTalk, Bakery, Bakery,37, Good,70000,Jakarta Utara
 Sugar Ministrys Artisan Cake Shop, Bakery, Bakery,36, Good,150000,Jakarta Utara
 Christine Bakery, Bakery, Bakery,34, Average,60000,Jakarta Utara
 Honey Loaf, Bakery, Bakery,37, Good,40000,Jakarta Utara
 Bakerzin, Western, Bakery,42, Very Good,250000,Jakarta Selatan
 Casadina Kitchen  Bakery, Cafe, Bakery,40, Very Good,200000,Jakarta Selatan
 Sophie Authentique, Coffee, Bakery,42, Very Good,200000,Jakarta Selatan
