namaresto,cuisines,namatype,ratescore,ratetext,cost,lokasi,votes
 Union Deli, Western, Bakery,47, Excellent,300000,Jakarta Pusat,1285
 AMKC Atelier, Western, Bakery,44, Very Good,600000,Jakarta Pusat,390
 Francis Artisan Bakery, Bakery, Bakery,47, Excellent,70000,Jakarta Pusat,368
 Exquise Patisserie, Cafe, Bakery,43, Very Good,140000,Jakarta Pusat,276
 Kempi Deli, Western, Bakery,44, Very Good,300000,Jakarta Pusat,265
 Paul, Cafe, Bakery,43, Very Good,450000,Jakarta Pusat,206
 NAMELAKA, Bakery, Bakery,45, Excellent,150000,Jakarta Pusat,239
 Bakerzin, Western, Bakery,39, Good,250000,Jakarta Pusat,166
 Auntie Annes, Bakery, Bakery,42, Very Good,80000,Jakarta Pusat,232
 Suisse Bakery, Bakery, Bakery,45, Excellent,25000,Jakarta Pusat,133
 Tugu Kunstkring Bakery, Cafe, Bakery,40, Very Good,80000,Jakarta Pusat,74
 Tous Les Jours, Bakery, Bakery,39, Good,135000,Jakarta Pusat,87
 Lulu  Kayla Cakes, Cafe, Bakery,39, Good,100000,Jakarta Pusat,54
 Tous Les Jours, Bakery, Bakery,41, Very Good,100000,Jakarta Pusat,71
 Bake a Boo, Bakery, Bakery,40, Very Good,60000,Jakarta Pusat,71
 Chefs Bakery, Bakery, Bakery,38, Good,60000,Jakarta Pusat,51
 Dapur Cokelat, Bakery, Bakery,37, Good,120000,Jakarta Pusat,58
 Delicious Bakery, Bakery, Bakery,38, Good,70000,Jakarta Pusat,36
 The Mandarin Cake Shop  Mandarin Oriental Jakarta, Bakery, Bakery,41, Very Good,150000,Jakarta Pusat,52
 Clover Bakery, Bakery, Bakery,39, Good,30000,Jakarta Pusat,33
 Momoiro, Bakery, Bakery,37, Good,135000,Jakarta Pusat,49
 Saint Cinnamon  Coffee, Bakery, Bakery,39, Good,100000,Jakarta Pusat,35
 The Harvest, Desserts, Bakery,36, Good,100000,Jakarta Pusat,50
 Sakura Anpan, Bakery, Bakery,36, Good,50000,Jakarta Pusat,40
 Martha Cake Shop, Bakery, Bakery,40, Very Good,100000,Jakarta Pusat,37
 Almondtree by The Harvest, Bakery, Bakery,37, Good,200000,Jakarta Pusat,41
 Shokupan Bakery  Pastries, Bakery, Bakery,37, Good,90000,Jakarta Pusat,29
 BreadTalk, Bakery, Bakery,33, Average,70000,Jakarta Pusat,34
 HG Cakes  Bakery, Bakery, Bakery,37, Good,150000,Jakarta Pusat,26
 Satoo Deli Shop  ShangriLa Hotel, Bakery, Bakery,37, Good,300000,Jakarta Pusat,24
 Tous Les Jours, Bakery, Bakery,37, Good,135000,Jakarta Pusat,21
 Makaron  Pullman Jakarta Indonesia, Bakery, Bakery,36, Good,120000,Jakarta Pusat,18
 La Boutique Gourmande  Le Meridien Hotel, Bakery, Bakery,38, Good,350000,Jakarta Pusat,21
 Sylvie Bika Ambon Medan, Bakery, Bakery,37, Good,150000,Jakarta Pusat,32
 De East Bread  Cakes, Bakery, Bakery,35, Good,45000,Jakarta Pusat,12
 Thai Bun Bun, Bakery, Bakery,35, Good,60000,Jakarta Pusat,21
 BreadTalk, Bakery, Bakery,35, Good,70000,Jakarta Pusat,29
 Yakitate Bakery, Bakery, Bakery,35, Good,30000,Jakarta Pusat,15
 Michelle Bakery, Bakery, Bakery,41, Very Good,200000,Jakarta Timur,60
 Jessy Bread  Cake, Bakery, Bakery,37, Good,40000,Jakarta Timur,43
 Ezo Cheesecakes  Bakery, Bakery, Bakery,39, Good,100000,Jakarta Timur,43
 Imperial Tables, Italian, Bakery,37, Good,240000,Jakarta Timur,38
 Delico, Cafe, Bakery,33, Average,190000,Jakarta Timur,28
 AEON Bakery, Bakery, Bakery,35, Good,70000,Jakarta Timur,19
 Chezini, Bakery, Bakery,36, Baik,100000,Jakarta Timur,28
 Loti Loti Bakery, Bakery, Bakery,36, Good,50000,Jakarta Timur,26
 Thens Bakery, Bakery, Bakery,36, Good,50000,Jakarta Timur,21
 The Cake House, Bakery, Bakery,36, Good,50000,Jakarta Timur,26
 Saint Cinnamon  Coffee, Bakery, Bakery,37, Good,100000,Jakarta Timur,22
 Tous Les Jours, Bakery, Bakery,36, Good,135000,Jakarta Timur,13
 Toko Roti Tegal, Bakery, Bakery,34, Average,50000,Jakarta Timur,13
 Eaton, Chinese, Bakery,36, Good,150000,Jakarta Timur,17
 Soes Merdeka, Bakery, Bakery,34, Average,60000,Jakarta Timur,18
 BreadTalk, Bakery, Bakery,34, Average,70000,Jakarta Timur,16
 Majestyk Bakery  Cakes, Bakery, Bakery,35, Good,60000,Jakarta Timur,22
 Domino Cake, Bakery, Bakery,26, Average,150000,Jakarta Timur,14
 Tous Les Jours, Bakery, Bakery,33, Average,135000,Jakarta Timur,14
 BreadTalk, Bakery, Bakery,32, Average,70000,Jakarta Timur,13
 Momoiro, Bakery, Bakery,26, Average,80000,Jakarta Timur,13
 Sedap Wangi Bakery, Bakery, Bakery,33, Average,30000,Jakarta Timur,9
 BreadTalk, Bakery, Bakery,35, Good,70000,Jakarta Timur,13
 Holland Bakery, Bakery, Bakery,33, Average,50000,Jakarta Timur,8
 Holland Bakery, Bakery, Bakery,35, Good,50000,Jakarta Timur,13
 Shintana, Bakery, Bakery,32, Average,50000,Jakarta Timur,10
 Holland Bakery, Bakery, Bakery,34, Average,50000,Jakarta Timur,13
 The Harvest, Desserts, Bakery,33, Average,100000,Jakarta Timur,16
 BreadTalk, Bakery, Bakery,34, Average,70000,Jakarta Timur,14
 BreadTalk, Bakery, Bakery,30, Average,70000,Jakarta Timur,4
 BreadTalk, Bakery, Bakery,32, Average,70000,Jakarta Timur,9
 Beard Papas, Bakery, Bakery,34, Average,50000,Jakarta Timur,10
 Breadtalk, Bakery, Bakery,33, Average,70000,Jakarta Timur,6
 Papabunz, Bakery, Bakery,33, Average,30000,Jakarta Timur,12
